issue_number,filename,key,public_url,bytes,ms,status,error
1,Copy of BRJ-01-Jan-Mar 1993.pdf,pdfs/issues/issue-01.pdf,https://pub-011dc1a7faab4dbbafd9b3954e64f5f8.r2.dev/pdfs/issues/issue-01.pdf,2737401,1777,ok,
8,Copy of BRJ-08-Oct-Dec 1994.pdf,pdfs/issues/issue-08.pdf,https://pub-011dc1a7faab4dbbafd9b3954e64f5f8.r2.dev/pdfs/issues/issue-08.pdf,3773328,1842,ok,
6,Copy of BRJ-06-Apr-June 1994.pdf,pdfs/issues/issue-06.pdf,https://pub-011dc1a7faab4dbbafd9b3954e64f5f8.r2.dev/pdfs/issues/issue-06.pdf,3409706,1967,ok,
7,Copy of BRJ-07-July-Sept 1994.pdf,pdfs/issues/issue-07.pdf,https://pub-011dc1a7faab4dbbafd9b3954e64f5f8.r2.dev/pdfs/issues/issue-07.pdf,3399522,2193,ok,
5,Copy of BRJ-05-Jan-Mar 1994.pdf,pdfs/issues/issue-05.pdf,https://pub-011dc1a7faab4dbbafd9b3954e64f5f8.r2.dev/pdfs/issues/issue-05.pdf,3373915,2714,ok,
2,Copy of BRJ-02-Apr-June 1993.pdf,pdfs/issues/issue-02.pdf,https://pub-011dc1a7faab4dbbafd9b3954e64f5f8.r2.dev/pdfs/issues/issue-02.pdf,2879716,2943,ok,
4,Copy of BRJ-04-Oct-Dec 1993.pdf,pdfs/issues/issue-04.pdf,https://pub-011dc1a7faab4dbbafd9b3954e64f5f8.r2.dev/pdfs/issues/issue-04.pdf,2578314,3315,ok,
3,Copy of BRJ-03-July-Sept 1993.pdf,pdfs/issues/issue-03.pdf,https://pub-011dc1a7faab4dbbafd9b3954e64f5f8.r2.dev/pdfs/issues/issue-03.pdf,3217589,3391,ok,
11,Copy of BRJ-11-July-Sept 1995.pdf,pdfs/issues/issue-11.pdf,https://pub-011dc1a7faab4dbbafd9b3954e64f5f8.r2.dev/pdfs/issues/issue-11.pdf,3937604,1784,ok,
10,Copy of BRJ-10-Apr-June 1995.pdf,pdfs/issues/issue-10.pdf,https://pub-011dc1a7faab4dbbafd9b3954e64f5f8.r2.dev/pdfs/issues/issue-10.pdf,3902927,2097,ok,
12,Copy of BRJ-12-Oct-Dec 1995.pdf,pdfs/issues/issue-12.pdf,https://pub-011dc1a7faab4dbbafd9b3954e64f5f8.r2.dev/pdfs/issues/issue-12.pdf,3605692,1894,ok,
9,Copy of BRJ-09-Jan-Mar 1995.pdf,pdfs/issues/issue-09.pdf,https://pub-011dc1a7faab4dbbafd9b3954e64f5f8.r2.dev/pdfs/issues/issue-09.pdf,3789741,2808,ok,
13,Copy of BRJ-13-Jan-Mar 1996.pdf,pdfs/issues/issue-13.pdf,https://pub-011dc1a7faab4dbbafd9b3954e64f5f8.r2.dev/pdfs/issues/issue-13.pdf,3553261,2603,ok,
19,Copy of BRJ-19-July-Sept 1997.pdf,pdfs/issues/issue-19.pdf,https://pub-011dc1a7faab4dbbafd9b3954e64f5f8.r2.dev/pdfs/issues/issue-19.pdf,4435470,1294,ok,
16,Copy of BRJ-16-Oct-Dec 1996.pdf,pdfs/issues/issue-16.pdf,https://pub-011dc1a7faab4dbbafd9b3954e64f5f8.r2.dev/pdfs/issues/issue-16.pdf,4411694,2271,ok,
14,Copy of BRJ-14-Apr-June 1996.pdf,pdfs/issues/issue-14.pdf,https://pub-011dc1a7faab4dbbafd9b3954e64f5f8.r2.dev/pdfs/issues/issue-14.pdf,3544790,2744,ok,
18,Copy of BRJ-18-Apr-June 1997.pdf,pdfs/issues/issue-18.pdf,https://pub-011dc1a7faab4dbbafd9b3954e64f5f8.r2.dev/pdfs/issues/issue-18.pdf,3966512,2583,ok,
22,Copy of BRJ-22-Apr-June 1998.pdf,pdfs/issues/issue-22.pdf,https://pub-011dc1a7faab4dbbafd9b3954e64f5f8.r2.dev/pdfs/issues/issue-22.pdf,3903081,1304,ok,
15,Copy of BRJ-15-July-Sept 1996.pdf,pdfs/issues/issue-15.pdf,https://pub-011dc1a7faab4dbbafd9b3954e64f5f8.r2.dev/pdfs/issues/issue-15.pdf,3715255,3412,ok,
21,Copy of BRJ-21-Jan-Mar 1998.pdf,pdfs/issues/issue-21.pdf,https://pub-011dc1a7faab4dbbafd9b3954e64f5f8.r2.dev/pdfs/issues/issue-21.pdf,3711972,1803,ok,
17,Copy of BRJ-17-Jan-Mar 1997.pdf,pdfs/issues/issue-17.pdf,https://pub-011dc1a7faab4dbbafd9b3954e64f5f8.r2.dev/pdfs/issues/issue-17.pdf,4234628,3552,ok,
20,Copy of BRJ-20-Oct-Dec 1997.pdf,pdfs/issues/issue-20.pdf,https://pub-011dc1a7faab4dbbafd9b3954e64f5f8.r2.dev/pdfs/issues/issue-20.pdf,4151103,3471,ok,
24,Copy of BRJ-24-Oct-Dec 1998.pdf,pdfs/issues/issue-24.pdf,https://pub-011dc1a7faab4dbbafd9b3954e64f5f8.r2.dev/pdfs/issues/issue-24.pdf,4409053,2557,ok,
23,Copy of BRJ-23-July-Sept 1998.pdf,pdfs/issues/issue-23.pdf,https://pub-011dc1a7faab4dbbafd9b3954e64f5f8.r2.dev/pdfs/issues/issue-23.pdf,4189289,2880,ok,
29,Copy of BRJ-29-Jan-Mar 2000.pdf,pdfs/issues/issue-29.pdf,https://pub-011dc1a7faab4dbbafd9b3954e64f5f8.r2.dev/pdfs/issues/issue-29.pdf,4443516,1458,ok,
28,Copy of BRJ-28-Oct-Dec 1999.pdf,pdfs/issues/issue-28.pdf,https://pub-011dc1a7faab4dbbafd9b3954e64f5f8.r2.dev/pdfs/issues/issue-28.pdf,4524233,1671,ok,
27,Copy of BRJ-27-July-Sept 1999.pdf,pdfs/issues/issue-27.pdf,https://pub-011dc1a7faab4dbbafd9b3954e64f5f8.r2.dev/pdfs/issues/issue-27.pdf,4430915,2468,ok,
32,Copy of BRJ-32-Oct-Dec 2000.pdf,pdfs/issues/issue-32.pdf,https://pub-011dc1a7faab4dbbafd9b3954e64f5f8.r2.dev/pdfs/issues/issue-32.pdf,3858861,1345,ok,
26,Copy of BRJ-26-Apr-June 1999.pdf,pdfs/issues/issue-26.pdf,https://pub-011dc1a7faab4dbbafd9b3954e64f5f8.r2.dev/pdfs/issues/issue-26.pdf,3939856,3297,ok,
25,Copy of BRJ-25-Jan-Mar 1999.pdf,pdfs/issues/issue-25.pdf,https://pub-011dc1a7faab4dbbafd9b3954e64f5f8.r2.dev/pdfs/issues/issue-25.pdf,4034577,3513,ok,
33,Copy of BRJ-33-July-Sept 2001.pdf,pdfs/issues/issue-33.pdf,https://pub-011dc1a7faab4dbbafd9b3954e64f5f8.r2.dev/pdfs/issues/issue-33.pdf,2794658,1740,ok,
36,Copy of BRJ-36-Winter 2003.pdf,pdfs/issues/issue-36.pdf,https://pub-011dc1a7faab4dbbafd9b3954e64f5f8.r2.dev/pdfs/issues/issue-36.pdf,2928410,1157,ok,
30,Copy of BRJ-30-Apr-June 2000.pdf,pdfs/issues/issue-30.pdf,https://pub-011dc1a7faab4dbbafd9b3954e64f5f8.r2.dev/pdfs/issues/issue-30.pdf,4670087,3382,ok,
31,Copy of BRJ-31-July-Sept 2000.pdf,pdfs/issues/issue-31.pdf,https://pub-011dc1a7faab4dbbafd9b3954e64f5f8.r2.dev/pdfs/issues/issue-31.pdf,4590586,3415,ok,
39,Copy of BRJ-39-Autumn-Winter 2003-2004.pdf,pdfs/issues/issue-39.pdf,https://pub-011dc1a7faab4dbbafd9b3954e64f5f8.r2.dev/pdfs/issues/issue-39.pdf,3061485,1291,ok,
35,Copy of BRJ-35-Autumn 2002.pdf,pdfs/issues/issue-35.pdf,https://pub-011dc1a7faab4dbbafd9b3954e64f5f8.r2.dev/pdfs/issues/issue-35.pdf,2961182,2779,ok,
34,Copy of BRJ-34-Oct-Dec 2001.pdf,pdfs/issues/issue-34.pdf,https://pub-011dc1a7faab4dbbafd9b3954e64f5f8.r2.dev/pdfs/issues/issue-34.pdf,2757244,3349,ok,
37,Copy of BRJ-37-Spring 2003.pdf,pdfs/issues/issue-37.pdf,https://pub-011dc1a7faab4dbbafd9b3954e64f5f8.r2.dev/pdfs/issues/issue-37.pdf,3271697,3396,ok,
